"Pin Number","Pin ID","Custom Name","Function","Mode", "Direction","Latch","Pull Up","Pull Down","Drive Strength"
146,PC13,,Available,,,,,,NORMAL
147,PC29,,Available,,,,,,NORMAL
148,PC14,,Available,,,,,,NORMAL
149,PC15,,Available,,,,,,NORMAL
153,PC17,,Available,,,,,,NORMAL
154,PC18,,Available,,,,,,NORMAL
155,PC19,,Available,,,,,,NORMAL
156,PC20,,Available,,,,,,NORMAL
173,PD00,,Available,,,,,,NORMAL
174,PD01,,Available,,,,,,NORMAL
175,PD24,,Available,,,,,,NORMAL
176,PD25,,Available,,,,,,NORMAL
179,PD13,,Available,,,,,,NORMAL
180,PD23,,Available,,,,,,NORMAL
181,PD14,,Available,,,,,,NORMAL
182,PD02,,Available,,,,,,NORMAL
183,PD03,,Available,,,,,,NORMAL
184,PD26,,Available,,,,,,NORMAL
185,PD27,,Available,,,,,,NORMAL
186,PD28,,Available,,,,,,NORMAL
187,PD29,,Available,,,,,,NORMAL
190,PD15,,Available,,,,,,NORMAL
191,PD16,,Available,,,,,,NORMAL
192,PD17,,Available,,,,,,NORMAL
193,PD04,,Available,,,,,,NORMAL
194,PD18,,Available,,,,,,NORMAL
195,PD19,,Available,,,,,,NORMAL
196,PD05,,Available,,,,,,NORMAL
197,PD06,,Available,,,,,,NORMAL
198,PD20,,Available,,,,,,NORMAL
199,PD21,,Available,,,,,,NORMAL
200,PD07,,Available,,,,,,NORMAL
204,PD08,,Available,,,,,,NORMAL
205,PD09,,Available,,,,,,NORMAL
206,PD10,,Available,,,,,,NORMAL
207,PD11,,Available,,,,,,NORMAL
208,PD12,,Available,,,,,,NORMAL
